Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
110,DILLON,465.112500,off,0.000000,DTCS,88.5,88.5,411,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
111,HAMLIN,467.475000,off,0.000000,DTCS,88.5,88.5,632,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
112,BLANEY,464.700000,off,0.000000,DTCS,88.5,88.5,712,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
116,ALLMENDI,467.987500,off,0.000000,DTCS,88.5,88.5,223,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
117,BUESCHER,460.950000,off,0.000000,TSQL,88.5,85.4,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
119,BRISCOE,458.175000,off,0.000000,DTCS,88.5,88.5,155,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
120,BELL,466.012500,off,0.000000,DTCS,88.5,88.5,506,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
121,BERRY,465.887500,off,0.000000,TSQL,88.5,225.7,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
122,LOGANO,464.825000,off,0.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
123,WALLACE,463.087500,off,0.000000,DTCS,88.5,88.5,546,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
124,BYRON,453.050000,off,0.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
133,CUP 33-1,469.375000,off,0.000000,DTCS,88.5,88.5,423,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
134,GILLILAN,467.112500,off,0.000000,DTCS,88.5,88.5,624,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
135,HERBST,458.900000,off,0.000000,DTCS,88.5,88.5,664,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
136,CUP 36-1,468.662500,off,0.000000,DTCS,88.5,88.5,532,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
138,SMITH,463.312500,off,0.000000,DTCS,88.5,88.5,703,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
140,CUP 40-1,457.887500,off,0.000000,TSQL,88.5,206.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
141,CUSTER,469.137500,off,0.000000,DTCS,88.5,88.5,251,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
142,NEMECHEC,460.162500,off,0.000000,DTCS,88.5,88.5,331,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
143,JONES,463.337500,off,0.000000,DTCS,88.5,88.5,243,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
144,YELEY,456.775000,off,0.000000,DTCS,88.5,88.5,132,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
145,REDDICK,467.537500,off,0.000000,DTCS,88.5,88.5,743,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
147,STENHOUS,457.650000,off,0.000000,DTCS,88.5,88.5,134,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
148,BOWMAN,451.200000,off,0.000000,DTCS,88.5,88.5,244,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
150,CUP 50-1,457.562500,off,0.000000,DTCS,88.5,88.5,516,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
151,WARE,466.225000,off,0.000000,DTCS,88.5,88.5,516,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
154,GIBBS,467.450000,off,0.000000,DTCS,88.5,88.5,734,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
160,PREECE,468.950000,off,0.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
162,CUP 62-1,451.325000,off,0.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
166,CUP 66-1,458.537500,off,0.000000,DTCS,88.5,88.5,654,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
167,CUP 67-1,467.812500,off,0.000000,DTCS,88.5,88.5,371,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
171,MCDOWEL,459.037500,off,0.000000,DTCS,88.5,88.5,365,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
177,HOCEVAR,458.212500,off,0.000000,TSQL,88.5,233.6,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
178,MCLEOD,467.750000,off,0.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
184,CUP 84-1,460.237500,off,0.000000,TSQL,88.5,192.8,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
188,ZILISCH,465.387500,off,0.000000,DTCS,88.5,88.5,226,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
191,CUP 91-1,465.437500,off,0.000000,DTCS,88.5,88.5,311,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
197,GISBERGE,463.825000,off,0.000000,TSQL,88.5,141.3,023,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
199,CUP 99-1,453.737500,off,0.000000,DTCS,88.5,88.5,071,NN,023,Tone->Tone,FM,5.00,,8.0W,,,,,
